"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Merrifield, Whit",593160,2023,34,0.382,0.11,0.313
"Sabol, Blake",666165,2023,25,0.394,0.159,0.33
"Espinal, Santiago",669289,2023,28,0.335,0.087,0.285
"Matos, Luis",682641,2023,21,0.342,0.092,0.285
"Waters, Drew",671221,2023,24,0.377,0.149,0.321
"Newman, Kevin",621028,2023,29,0.364,0.111,0.28
"Moniak, Mickey",666160,2023,25,0.495,0.215,0.397
"Buxton, Byron",621439,2023,29,0.438,0.231,0.253
"Belt, Brandon",474832,2023,35,0.49,0.236,0.37
"d'Arnaud, Travis",518595,2023,34,0.397,0.172,0.258
"Bichette, Bo",666182,2023,25,0.475,0.169,0.355
"Devers, Rafael",646240,2023,26,0.5,0.229,0.292
"Biggio, Cavan",624415,2023,28,0.37,0.135,0.304
"Yoshida, Masataka",807799,2023,29,0.445,0.156,0.316
"Kirilloff, Alex",666135,2023,25,0.445,0.175,0.337
"Rivera, Emmanuel",656896,2023,27,0.358,0.097,0.313
"Lowe, Nathaniel",663993,2023,27,0.414,0.152,0.329
"Trout, Mike",545361,2023,31,0.49,0.227,0.335
"Crawford, Brandon",543063,2023,36,0.314,0.12,0.241
"Walker, Christian",572233,2023,32,0.497,0.239,0.272
"Marte, Ketel",606466,2023,29,0.485,0.209,0.3
"Arenado, Nolan",571448,2023,32,0.459,0.193,0.279
"Taylor, Chris",621035,2023,32,0.42,0.183,0.327
"Bohm, Alec",664761,2023,26,0.437,0.163,0.296
"France, Ty",664034,2023,28,0.366,0.116,0.294
"Neto, Zach",687263,2023,22,0.377,0.152,0.272
"Rogers, Jake",668670,2023,28,0.444,0.223,0.268
"Lindor, Francisco",596019,2023,29,0.47,0.216,0.277
"Polanco, Jorge",593871,2023,29,0.454,0.199,0.31
"Julks, Corey",667452,2023,27,0.352,0.107,0.306
"Monasterio, Andruw",655316,2023,26,0.348,0.089,0.326
"Rodr?guez, Julio",677594,2023,22,0.485,0.21,0.33
"Bethancourt, Christian",542194,2023,31,0.381,0.156,0.278
"Bryant, Kris",592178,2023,31,0.367,0.134,0.27
"Meneses, Joey",608841,2023,31,0.401,0.126,0.329
"Taylor, Michael A.",572191,2023,32,0.442,0.222,0.278
"Tellez, Rowdy",642133,2023,28,0.376,0.161,0.249
"Raley, Luke",670042,2023,28,0.49,0.241,0.33
"Miller, Owen",680911,2023,26,0.371,0.11,0.31
"Tucker, Kyle",663656,2023,26,0.517,0.233,0.289
"Bogaerts, Xander",593428,2023,30,0.44,0.155,0.319
"Chisholm Jr., Jazz",665862,2023,25,0.457,0.207,0.318
"Stott, Bryson",681082,2023,25,0.419,0.139,0.312
"Judge, Aaron",592450,2023,31,0.613,0.346,0.3
"Wong, Connor",657136,2023,27,0.385,0.15,0.341
"Albies, Ozzie",645277,2023,26,0.513,0.233,0.289
"Brown, Seth",664913,2023,30,0.405,0.183,0.27
"Baty, Brett",683146,2023,23,0.323,0.111,0.28
"V?zquez, Christian",543877,2023,32,0.318,0.095,0.279
"Stanton, Giancarlo",519317,2023,33,0.42,0.229,0.21
"Laureano, Ram?n",657656,2023,28,0.371,0.147,0.301
